Public Food Key,Name,Description
F008238,"Shark, fillet, without skin, steamed, no added fat","Shark or flake (typically Gummy, School and Black Tipped shark) fillet without skin that has been steamed with no added fat."
F008233,"Shark, battered, deep-fried, takeaway outlet","Shark or flake fillet without skin, coated in batter and deep fried, purchased ready to eat from a takeaway outlet."
F008263,"Silver perch, aquacultured, raw","Uncooked silver perch fillet, produced in Australia by aquaculture."
F008258,"Silver perch, aquacultured, baked, no added fat","Silver perch fillet, produced in Australia by aquaculture, that has been baked with no added fat."
F008264,"Silver perch, aquacultured, steamed, no added fat","Silver perch fillet, produced in Australia by aquaculture, that has been steamed with no added fat."
F008359,"Snapper, fillet, raw",Uncooked snapper fillet.
F008358,"Snapper, fillet, baked, no added fat",Snapper fillet that has been baked with no added fat.
F008360,"Snapper, fillet, steamed, no added fat",Snapper fillet that has been steamed with no added fat.
F009163,"Tilapia, fillet, raw","Uncooked tilapia fillet, produced by aquaculture and imported into Australia."
F009161,"Tilapia, fillet, baked, no added fat","Tilapia fillet, produced by aquaculture and imported into Australia that has been baked with no added fat."
F009164,"Tilapia, fillet, steamed, no added fat","Tilapia fillet, produced by aquaculture and imported into Australia, that has been steamed with no added fat."
F009268,"Trout, ocean, aquacultured, fillet, without skin, raw","Uncooked ocean trout, produced in Australia by aquaculture."
F009267,"Trout, ocean, aquacultured, fillet, without skin, baked, no added fat","Uncooked ocean trout, produced in Australia by aquaculture that has been backed with no added fat."
F009269,"Trout, ocean, aquacultured, fillet, without skin, steamed, no added fat","Uncooked ocean trout, produced in Australia by aquaculture that has been steamed with no added fat."
F009271,"Trout, rainbow, aquacultured, raw","Uncooked rainbow trout (including some skin), produced in Australia by aquaculture."
F009270,"Trout, rainbow, aquacultured, baked, no added fat","Rainbow trout (including some skin), produced in Australia by aquaculture that has been baked with no added fat."
F009273,"Trout, rainbow, aquacultured, steamed, no added fat","Rainbow trout with or without skin, cooked by steaming, without added fat or oil."
F009303,"Tuna, yellowfin, flesh, raw",Uncooked yellowfin tuna flesh.
F009302,"Tuna, yellowfin, flesh, baked, no added fat","Yellowfin tuna flesh, that has been baked with no added fat or oil."
F009304,"Tuna, yellowfin, flesh, steamed, no added fat","Yellowfin tuna flesh, that has been steamed with no added fat."
F009560,"Whiting, King George, flesh, raw",Uncooked king george whiting flesh
F009557,"Whiting, King George, flesh, baked, no added fat",King george whiting flesh that has been baked with no added fat.
F009561,"Whiting, King George, flesh, steamed, no added fat",King george whiting flesh that has been steamed with no added fat.
F003920,"Fish, eel, raw","Uncooked eel, with or without skin."
F003950,"Fish, white flesh, battered, packaged frozen, baked, no added fat","Fillets of an undefined white fleshed fish, purchased commercially battered and frozen. Baked at home with no added fat."
F003954,"Fish, white flesh, crumbed, packaged frozen, baked, no added fat","Fillets of an undefined white fleshed fish, purchased commercially crumbed and frozen. Baked at home with no added fat."
F003907,"Fish, battered or crumbed, from takeaway outlet, deep fried, blended frying fat, ready to eat","Fillets of an undefined white flesh fish, coated in batter or breadcrumbs, the deep fried in a blended frying fat, as purchased from takeaway food outlets."
F000002,"Abalone, black lip, aquacultured, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a black ring surrounding the flesh. Aquacultured.
F000003,"Abalone, black lip, wild, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a black ring surrounding the flesh. Wild caught.
F000005,"Abalone, green lip, aquacultured, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a green ring surrounding the flesh. Aquacultured.
F000006,"Abalone, green lip, wild, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a green ring surrounding the flesh. Wild caught.
F000004,"Abalone, brown lip, wild, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a brown ring surrounding the flesh. Wild caught.
F003243,"Crab, flesh, purchased steamed or boiled",Flesh from crabs purchased freshly cooked by boiling or steaming.
F005228,"Lobster, southern rock, wild, flesh, raw",Uncooked flesh from lobsters.
F005227,"Lobster, southern rock, wild, flesh, purchased steamed or boiled",Flesh from lobsters cooked whole in water or steam prior to purchase so that the lobster is red in colour.
F005968,"Mussel, blue, steamed","Flesh of a mussel that has a blue or purple tinged shell, that has been steamed with no added fat."
F006150,"Octopus, raw",Uncooked octopus flesh.
F006146,"Octopus, boiled, no added fat",Octopus flesh that has been boiled with no added fat.
F006288,"Oyster, native, aquacultured, raw",Uncooked flesh of aquacultured native oysters purchased in open half shell.
F006289,"Oyster, Pacific, aquacultured, raw",Uncooked flesh of aquacultured Pacific oysters purchased in open half shell.
F006291,"Oyster, Sydney rock, aquacultured, raw",Uncooked flesh of aquacultured Sydney rock oysters purchased in open half shell.
F006285,"Oyster, aquacultured, raw","Uncooked flesh of oysters purchased in open half shell. Includes oysters described as Pacific, Native and Sydney rock oysters."
F007422,"Prawn, banana, wild, flesh, raw","Uncooked flesh from banana prawns, typically pale in colour with a greenish tinge. Wild caught."
F007421,"Prawn, banana, aquacultured, purchased cooked",Flesh from banana prawns. Wild caught and purchased pre-cooked.
F007424,"Prawn, brown tiger, wild, flesh, raw","Uncooked flesh from brown tiger prawns, typically pale brown to blue-green with distinctive stripes. Wild caught."
F007423,"Prawn, black tiger, aquacultured, purchased cooked",Flesh from black tiger prawns. Wild caught and purchased pre-cooked.
F007431,"Prawn, endeavour, wild, flesh, raw","Uncooked flesh from endeavour prawns, typically pale brown to pink in colour. Wild caught."
F007451,"Prawn, school, wild, flesh, raw","Uncooked flesh from school prawns, typically pale in colour with a greenish tinge. Wild caught."
F007454,"Prawn, Western king, wild, flesh, raw","Uncooked flesh from Western king prawns, typically cream to light brown flesh. Wild caught."
F007433,"Prawn, flesh, raw (green)","Uncooked flesh from large prawns, typically pale in colour with a greenish tinge."
F007432,"Prawn, flesh, cooked from raw, no added fat",Flesh from large prawns that have been fried with no added fat.
F008166,"Scallop, raw",Uncooked flesh and roe of a scallop.
F008165,"Scallop, fried, no added fat",Flesh and roe of a scallop that has been fried with no added fat.
F008828,"Squid or calamari, raw",Uncooked squid tubes.
F008825,"Squid or calamari, fried, no added fat","Squid tubes, cut into ring shapes that have been fried with no added fat."
F000074,"Anchovy, canned in oil, drained","Anchovy fillets preserved by canning in edible oil (including olive and soy oils) and salt, then drained."
F003009,"Cod, smoked, raw",Uncooked fillets of cod preserved by cold or liquid smoking so that the fish has an orange colour.
F003003,"Cod or hake, smoked, steamed",Fillets of cod or hake preserved by cold or liquid smoking so that the fish has an orange colour. Steamed without added fat.
F003897,"Fish finger, crumbed, purchased frozen, raw","Rectangular-shaped skinless fish pieces, coated in breadcrumbs and partially cooked by deep frying before packaging as a commercially frozen product."
F003896,"Fish finger, crumbed, purchased frozen, grilled, no added fat","Rectangular-shaped skinless fish pieces, coated in breadcrumbs and partially cooked by deep frying before packaging as a commercially frozen product. Grilled at home with no added fat."
F007853,"Salmon, pink, canned in brine, drained","Flesh, bones and skin of fish labelled as being pink salmon, canned in brine, then drained."
F007847,"Salmon, flavoured, canned, undrained","Pink or red salmon, canned in water, oil and/or vinegar with added flavouring ingredients such as lemon juice, tomato, herbs and spices, vegetable oil and salt. Products vary in composition between brands. Salmon may be skinless and boneless, therefore the product may contain lower amounts of calcium than regular undrained canned salmon."
F007860,"Salmon, red, canned in brine, drained","Flesh, bones and skin of fish labelled as being red salmon, canned in brine, then drained."
F007864,"Salmon, smoked, sliced",Salmon preserved by salting and smoking then sliced prior to sale. May contain small amounts of vegetable oil. Salmon may be produced in Australia or imported.
F009285,"Tuna, canned in brine, drained","Tuna flesh preserved by canning in brine, then drained."
F009293,"Tuna, flavoured, canned in oil, drained","Tuna flesh canned in oil, water and/or vinegar with added flavouring ingredients such as chilli, tomato, lemon juice, onion, herbs and spices and salt. Products vary in composition between brands."
F000333,"Bar, muesli, plain or with dried fruit","Snack style product whose major ingredients include rolled oats, sugars and vegetable oils, and generally have added dried fruits (typically apricot, sultana and apple)."
F000337,"Bar, muesli, plain or with dried fruit, chocolate-coated","Snack style bar whose major ingredients include rolled oats, sugars, vegetable oil, puffed rice, dried fruit or fruit juice, nuts and seeds. The bar is covered or topped with chocolate."
F000339,"Bar, muesli, plain or with dried fruit, yoghurt-coated","Snack style product whose major ingredients include rolled oats, dried fruits, sugars, vegetable oils. The bar is covered or topped with a yoghurt-based coating."
F000344,"Bar, muesli, with nuts","Snack style product whose major ingredients include rolled oats, sugars, vegetable oils and nuts (typically cashews, almonds, pecans or macadamias)."
F000368,"Bar, snack, fruit filled, baked","Snack style product with a fruit-based filling covered in a wheat-based pastry-like layer. Major ingredients include fruit filling (glucose, fruit, thickeners, food acid and flavours), wheat and oats and vegetable fats and oils."
F003198,"Corn chips, plain, toasted, salted","Snack food product that consists of chips made from ground corn that is fried in vegetable oil, with added salt, but no added flavours."
F003802,"Extruded snack, cheese flavoured","Cereal-based (typically corn or rice), packaged, savoury extruded snacks with cheese flavour."
F006030,"Noodle snack, wheat, flavoured, dry",Dry noodles made from pregelatinised wheat starch and eaten as a snack.
F006844,"Popcorn, commercial, butter flavoured, salted","Commercially purchased butter flavoured corn kernels, popped/cooked by heating in oil and/or butter or by heating in a microwave. Contains added salt."
F007193,"Potato crisps or chips, plain, salted","Commercially packaged snack product that consists of thinly sliced potato, deep fried in vegetable oil, with added salt, but no added flavours."
F007201,"Potato crisps or chips, salt & vinegar flavoured","Commercially packaged snack product consisting of thinly sliced potato, deep fried in vegetable oil, with added salt and vinegar flavouring."
F007189,"Potato crisps or chips, flavoured (other than salt & vinegar)","Commercially packaged snack product consisting of thinly sliced potato, deep fried in vegetable oil, with added flavouring (except salt and vinegar)."
F007198,"Potato crisps or chips, reformed, salted","Commercially packaged snack product that consists of reformed sliced potato, deep fried in vegetable oil, with added salt. Includes flavoured and unflavoured varieties."
F007204,"Potato straws, French fries, plain","Commercially packaged snack product consisting of thinly sliced potato, deep fried in vegetable oil, and lightly salted."
F009073,"Taco shell, from corn flour, plain",Pre-purchased hard corn-based shells for use in preparing tacos. Shells are fried before packaging.
F008509,"Soup, broth style, with meat, instant dry mix","Instant dry beef mix soup containing beef or chicken and other ingredients such as spices and herbs, maltodextrins, salt and starch. Requires mixing with boiling water in a cup before consumption."
F008508,"Soup, broth style, with meat and noodles, instant dry mix","Instant dry chicken noodle soup mix containing noodles, salt, sugar, flavour enhancer, garlic, skim milk, vegetable fat, hydrolysed veg. protein, chicken, onion, parsley, spices, herbs, colour (turmeric). Requires mixing with boiling water in a cup before consumption."
F008513,"Soup, chicken & noodle, cup of soup, prepared from instant dry mix with water",Chicken noodle soup prepared from instant dry soup mix by mixing with boiling tap water according to label instructions.
F008571,"Soup, cream variety, instant dry mix","Instant dry cream type soup mix including chicken, onion, mushroom and vegetable flavours. Typical ingredients include chicken, dried onions, mushrooms, purees of potato, carrot, leak, wheat flour, green bean, swede, salt, non-fat milk solids, beef fat, vegetable protein, herbs and spices, maltodextrin, flavours and enhancers. Requires mixing with boiling water before consumption."
F008670,"Soup, vegetable, instant dry mix","Dry onion soup mix containing dried onion and other ingredients such as mushrooms, herbs, wheat flour, vegetable oil, beverage whitener, milk proteins, salt and vegetable gum. Requires mixing with boiling water before consumption."
F008661,"Soup, vegetable & noodle, instant dry mix","Instant tomato soup dry mix with noodles, containing tomato powder, wheat gluten, beverage whitener, vegetable oil, antioxidants, maize starch, maltodextrin, salt and spices. Requires mixing with boiling water before consumption."
F000279,"Bar, cherry & coconut centre, dark chocolate-coated",A cherry and coconut flavoured snack bar coated in a layer of dark chocolate.
F000285,"Bar, coconut cream centre, milk chocolate-coated",Chocolate-coated bar with coconut cream centre.
F000296,"Bar, honeycomb centre, milk chocolate-coated",Chocolate-coated bar with honeycomb centre.
F000348,"Bar, nougat & caramel centre, milk chocolate-coated",Chocolate-coated bar with nougat and caramel centre.
F002916,"Chocolate, compound, cooking",Cocoa-based product formulated for baking or other cooking purposes in which cocoa butter is wholly or partially replaced with vegetable oils. Generally dark in colour but also includes milk cooking chocolate.
F002921,"Chocolate, dark, high cocoa solids",Dark chocolate that contains between 40 and 59% cocoa solids so that it is dark in colour and slightly bitter in flavour.
F002929,"Chocolate, milk",Chocolate confectionery product containing added milk solids and sold in a block or moulded into novelty shapes.
F002934,"Chocolate, milk, fondant or caramel filled",Chocolate confectionery with milk chocolate coating enclosing a soft caramel or fondant cream type filling. Includes chocolates such as Snack or Caramello.
F002937,"Chocolate, milk, with dried fruit & nuts","Chocolate confectionery product containing milk chocolate with embedded dried fruit and nuts, commonly raisins, sultanas, almonds and cashews."
F002939,"Chocolate, milk, with nuts",Chocolate confectionery product containing milk chocolate with embedded nuts.
F002946,"Chocolate, white",Chocolate confectionery product that contains milk solids and cocoa butter and is creamy white in colour.
F003097,"Confectionery, almond, chocolate-coated",Almonds coated in a layer of chocolate.
F003100,"Confectionery, chocolate centre, sugar-coated",Confectionery product containing milk chocolate covered with a sugar-based coating and shaped into a small disc or ball. Includes products described as Smarties.
F003105,"Confectionery, dried fruit & nuts, chocolate-coated","A combination of dried fruits including sultanas and raisins and roasted nuts such as almonds, peanuts and hazelnuts or macadamias coated in a layer of chocolate."
F003114,"Confectionery, peanut, chocolate-coated",Peanuts covered in a layer of chocolate.
F003118,"Confectionery, sultana, chocolate-coated",Sultanas coated in a layer of chocolate.
F002953,"Chutney or relish, commercial","Jam-like preserve containing fruit, dried fruit, sugar, vinegar, salt and spices."
F004600,"Jam, berry",A fruit-based jam or conserve with a thick consistency and high viscosity. Consists of a mixture of whole berries or berry pieces cooked in sugar and water.
F004607,"Jam, stone fruit",An fruit based jam or conserve made with an equal weight of either whole fruits or pieces of fruits such as apricot and sugar cooked in water.
F004604,"Jam, plum",An fruit based jam or conserve made with an equal weight of either whole plums or large plum pieces and sugar cooked in water.
F005421,"Marmalade, orange",A sugary fruit preserve with a lumpier consistency than jam as both the skin and pulp of the orange is used in its making.
F008777,"Spread, hazelnut & chocolate flavoured","A thick, chocolate flavoured hazelnut spread."
F004219,"Glucose, liquid or syrup","Liquid product containing glucose and other carbohydrates, produced from the hydrolysis of starch. Composition will vary depending on particular formulation."
F004380,Honey,Sugar syrup made by bees using nectar from flowers.
F008969,"Sugar, brown",A soft moist brown sugar with a fine crystal size.
F008973,"Sugar, raw",A light brown sugar characterised by a larger crystal size and consists of 98% sucrose and 2% water and ash.
F008976,"Sugar, white, granulated or lump","Purified extract from the sugar cane plant that is composed almost entirely of sucrose and may be supplied in lumps, coarse or fine granules or as a powder."
F008980,"Sugar, white, icing",Produced by milling granulated sugar which is a form of sucrose refined from sugar cane to produce a fine white powder.
F008981,"Sugar, white, icing mixture",Produced by milling granulated sugar which is a form of sucrose refined from sugar cane to produce a fine white powder. Wheat starch is added to maintain a fine powder.
F009049,"Syrup, golden",Made from sugar syrup which has been partially broken down into glucose and fructose and is light to medium brown in colour.
F009052,"Syrup, maple, pure",Light to medium brown coloured sugar syrup traditionally made by boiling maple tree sap at atmospheric pressure or by freeze-drying it at reduced atmospheric pressure. Imported into Australia.
F002257,"Caramels, soft & hard",Soft and hard caramel confectionery including soft toffees.
F004611,"Jelly crystals, sugar sweetened, all flavours","Coloured and flavoured dry crystals of sugar. Main ingredients include sucrose, citric acid, sodium and artificial colours and flavours."
F004615,"Jelly, sugar sweetened, all flavours, prepared",Semi-solid water based dessert product prepared from packaged dried jelly crystals.
F005214,"Liquorice, black","Aniseed flavoured confectionery prepared from wheat flour, molasses or treacle, sugar, salt, vegetable oil, colours and flavours. Sold in pieces or strips."
F005213,"Liquorice, allsorts",Confectionery product that consists of layers of liquorice and a soft sugar-based confectionery.
F005215,"Liquorice, chocolate-coated",Aniseed flavoured confectionery covered in a layer of milk chocolate.
F005235,"Lolly, hard varieties","Hard confectionery products such as Life Savers, Fruit Tingles and Steam Rollers."
F005236,"Lolly, jelly varieties","Soft, jelly confectionery products such as jelly babies, fruit rings, pastilles, fruit gums, jubes."
F005241,"Lolly, mint flavoured, sugar sweetened",Small round white balls approximately 1 cm in diameter with a hard outer layer and a soft chewy peppermint nougat filling.
F005522,"Meringue, all flavours, commercial",A baked dessert with a crisp exterior and chewy interior made from beaten egg whites with added sugar and colours and flavours. Commonly served plain or topped with cream and fruit.
F000144,"Artichoke, globe, raw","The unopened flower bud of a thistle with gold-green to purple coloured leaves surrounding a hairy inedible choke, on top of an edible heart. Round to conical in shape. Edible portion comprises lower part of leaves and heart. Uncooked."
F000142,"Artichoke, globe, boiled, drained","The unopened flower bud of a thistle with gold-green to purple coloured leaves surrounding a hairy inedible choke, on top of an edible heart. Round to conical in shape. Lower leaves and heart boiled in unsalted water without added fat, then drained."
F000146,"Artichoke, jerusalem, peeled, raw","Yellow-beige tuber or root with short knobbly, club shaped branches. Uncooked and peeled."
F000145,"Artichoke, jerusalem, peeled, boiled, drained","Yellow-beige tuber or root with short knobbly, club shaped branches. Peeled and boiled in unsalted water without added fat, then drained."
F000141,"Artichoke heart, canned in brine, drained","Central edible portion of the unopened flower bud, with tightly wrapped leaves gold-green to purple in colour. Canned in brine, then drained."
F000155,"Asparagus, green, raw",Long crisp green stem with a fragile feathery tip. Uncooked.
F000151,"Asparagus, green, boiled, drained","Long crisp green stem with a fragile feathery tip, boiled in unsalted water without added fat, then drained."
F000149,"Asparagus, canned in brine, drained","Long crisp green stem with a fragile feathery tip cut into pieces, canned in brine, then drained."
F000162,"Avocado, raw","Almost pear shaped, with a green to black shiny skin and a delicate yellow flesh with a green outer hue. Uncooked."
F000253,"Bamboo shoot, canned in water, heated, drained","Tender young shoots of an edible bamboo plant, cream in colour with a fibrous texture. Sliced and canned in water. Heated in own juice, then drained."
F000396,"Basil, green, raw","Large, green, oval-shaped, pointed leaves, with a distinct sweet smell and taste. Uncooked."
F000419,"Bean, broad, fresh, raw","Fresh seed, generally green in colour, removed from its pod. Uncooked."
F000418,"Bean, broad, fresh, boiled, drained","Fresh seed, generally green in colour, removed from its pod and boiled in unsalted water without added fat, then drained. Outer seed skin not removed."
F000422,"Bean, butter, fresh, raw","Fresh seed and its pod, both of which are generally creamy yellow in colour. Uncooked."
F000421,"Bean, butter, fresh, boiled, drained","Fresh seed and its pod, both of which are generally creamy yellow in colour, boiled in unsalted water without added fat, then drained."
F000431,"Bean, green, fresh, raw","Long, thin, green, crisp pod with small round smooth seeds inside. Uncooked."
F000430,"Bean, green, fresh, boiled, drained","Long, thin, green, crisp pod with small round smooth seeds inside. Trimmed, sliced, and boiled in unsalted water without added fat, then drained."
F000434,"Bean, green, frozen, boiled, drained","Long, thin, green, crisp pod with small round smooth seeds inside sliced and commercially packaged frozen. Boiled at home in unsalted water without added fat, then drained."
F001015,"Beetroot, fresh, purple, peeled, raw",Rounded root vegetable with dark brown-purple skin and stems and purple flesh. Edible portion comprises flesh only. Uncooked.
F001013,"Beetroot, fresh, purple, peeled, baked, no added fat",Rounded root vegetable with dark brown-purple skin and stems and purple flesh. Chopped and baked without added fat.
F001014,"Beetroot, fresh, purple, peeled, boiled, drained","Rounded root vegetable with dark brown-purple skin and stems and purple flesh. Flesh boiled in unsalted water without added fat, then drained."
F001010,"Beetroot, canned in brine, drained","Whole beetroots that have been boiled, then sliced and canned in an acidified salted brine, then drained."
F001301,"Bok choy, raw","Asian vegetable with white to pale green coloured stems, and rounded, dark-green leaves. Uncooked."
F001300,"Bok choy, fried, no added fat","Asian vegetable with white to pale green coloured stems, and rounded, dark-green leaves. Fried without added fat."
F001302,"Bok choy, steamed","Asian vegetable with white to pale green coloured stems, and rounded, dark-green leaves. Boiled in unsalted water without added fat, then drained."
F001905,"Broccoli, fresh, raw","Deep green flower clusters which form the head, and pale green stems. Uncooked."
F001904,"Broccoli, fresh, microwaved",Deep green flower clusters which form the head with pale green stems. Purchased fresh then  microwaved without added salt or fat.
F001900,"Broccoli, fresh, boiled, drained","Deep green flower clusters which form the head with pale green stems. Boiled in unsalted water without added fat, then drained"
F001899,"Broccoli, fresh, baked, no added fat","Deep green flower clusters which form the head, and pale green stems. Fresh. Chopped and baked without added fat."
F001909,"Broccolini, fresh, raw","Deep green flower clusters which form the head, and pale green stems. Uncooked."
F001908,"Broccolini, fresh, boiled, drained","Deep green flower clusters which form the head with pale green stems. Boiled in unsalted water without added fat, then drained"
F001914,"Brussels sprout, fresh, raw",Layers of small green leaves with white stems wrapped around a white base. Uncooked.
F001913,"Brussels sprout, fresh, boiled, drained","Layers of small green leaves with white stems wrapped around a white base. Boiled in unsalted water without added fat, then drained."
F001996,"Cabbage, Chinese, raw","Large and cylindrical in shape, with layers of tightly packed leaves. Each leaf has a long, fleshy, thick white stem and mid-green colour leaves. Uncooked."
F001993,"Cabbage, Chinese, boiled, drained","Large and cylindrical in shape, with layers of tightly packed leaves. Each leaf has a long, fleshy, thick white stem and mid-green colour leaves. Chopped and cooking by boiling in unsalted water then draining, by microwaving, or by steaming."
F001990,"Cabbage, Chinese flowering, raw",Leafy vegetable with long pale to mid green stem with rounded pale and mid green leaves and flowers. Uncooked.
F001988,"Cabbage, Chinese flowering, boiled, drained","Leafy vegetable with long pale to mid green stem with rounded pale and mid green leaves and flowers. Chopped and cooking by boiling in unsalted water then draining, by microwaving, or by steaming."
F001998,"Cabbage, mustard, raw","Plant with thick, pale green, grooved, curving stems with a small fringe of deeper green leaf along the edges and across the top of stems. Uncooked."
F001997,"Cabbage, mustard, boiled, drained","Plant with thick, pale green, grooved, curving stems with a small fringe of deeper green leaf along the edges and across the top of stems. Chopped and cooking by boiling in unsalted water then draining, by microwaving, or by steaming."
F002006,"Cabbage, red, raw","Large, smooth and round in shape, with layers of tightly packed purple-red coloured leaves. Uncooked."
F002003,"Cabbage, red, boiled, drained","Large, smooth and round in shape, with layers of tightly packed purple-red coloured leaves. Leaves chopped and boiled in unsalted water without added fat, then drained."
F002010,"Cabbage, savoy, raw","Round in shape, with tightly packed green wrinkled layers of leaves. Uncooked."
F002009,"Cabbage, savoy, boiled, drained","Round in shape, with tightly packed green wrinkled layers of leaves. Chopped and boiled in unsalted water without added fat, then drained."
F002015,"Cabbage, white, raw","Round in shape, with tightly packed layers of leaves. Uncooked."
F002014,"Cabbage, white, boiled, drained","Round in shape, with tightly packed layers of leaves. Shredded, then boiled in unsalted water without added fat, then drained."
F002220,"Capers, pickled, canned, drained",Small round green berries of the caper bush. Pickled commercially and drained.
F002239,"Capsicum, green, fresh, raw","A shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked."
F002238,"Capsicum, green, fresh, fried, no added fat","A shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Chopped and fried without added fat."
F002247,"Capsicum, red, fresh, raw","A shiny red vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked."
F002246,"Capsicum, red, fresh, fried, no added fat","A shiny red vegetable with crisp, moist flesh. Hollow with a seeded core. Chopped and fried without added fat."
F002266,"Carrot, baby, peeled, fresh, raw",Crisp root vegetable with orange flesh and green leaves/stem. Uncooked.
F002265,"Carrot, baby, peeled, fresh, boiled, drained","Crisp root vegetable with orange flesh and green leaves/stem. Peeled and boiled in unsalted water without added fat, then drained."
F002263,"Carrot, baby, baked, no added fat",Crisp root vegetable with orange flesh and green leaves/stem. Baked with no added fat.
F002276,"Carrot, mature, peeled, fresh, raw",Root vegetable with orange flesh and green leaves/stem. Edible portion includes flesh only. Uncooked.
F002274,"Carrot, mature, peeled, fresh, baked, no added fat",Crisp root vegetable with orange flesh and green leaves/stem. Peeled and baked without added fat.
F002275,"Carrot, mature, peeled, fresh, boiled, drained","Root vegetable with orange flesh and green leaves/stem. Peeled and boiled in unsalted water without added fat, then drained."
F002286,"Cassava, peeled, fresh, raw","Long, coarse brown tuber, with a fibrous flesh. Uncooked."
F002285,"Cassava, peeled, fresh, boiled, drained","Long, coarse brown tuber, with a fibrous flesh. Peeled and boiled in unsalted water without added fat, then drained."
F002288,"Cassava, white flesh, peeled, fresh, raw","Long, coarse brown tuber, with a fibrous white flesh. Uncooked."
F002287,"Cassava, white flesh, peeled, fresh, boiled, drained","Long, coarse brown tuber, with a fibrous white flesh. Peeled and boiled in unsalted water without added fat, then drained."
F002290,"Cassava, yellow flesh, peeled, fresh, raw","Long, coarse brown tuber, with a fibrous yellow flesh. Uncooked."
F002289,"Cassava, yellow flesh, peeled, fresh, boiled, drained","Long, coarse brown tuber, with a fibrous yellow flesh. Peeled and boiled in unsalted water without added fat, then drained."
F002378,"Cauliflower, fresh, raw","Tight white flower clusters which form the head, with a white stem. Uncooked."
F002377,"Cauliflower, fresh, boiled, drained","Tight white flower clusters which form the head, with a white stem. Boiled in unsalted water, without added fat, then drained."
F002384,"Celeriac, peeled, raw","A thick tuberous root with brown skin and white flesh, with a celery like flavour. Uncooked."
F002383,"Celeriac, peeled, boiled, drained","A thick tuberous root with brown skin and white flesh, with a celery like flavour. Peeled, chopped, and boiled in unsalted water without added fat, then drained."
F002390,"Celery, fresh, raw",A green upright vegetable with long stems and green leafy ends.
F002389,"Celery, fresh, fried, no added fat",A green upright vegetable with long stems and green leafy ends. Chopped and fried without added fat.
F002884,"Chicory, raw","A leafy vegetable with long white leaves, typically used in salads, stews and casseroles. Uncooked."
F002883,"Chicory, boiled, drained","A leafy vegetable with long white leaves, typically used in salads, stews and casseroles. Boiled in unsalted water without added fat, then drained."
F002896,"Chilli (chili), green, raw","A long thin shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked."
F002894,"Chilli (chili), green, fried, no added fat","A long thin shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Sliced and fried without added fat."
F002901,"Chilli (chili), red, raw","A long thin shiny red vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked."
F002900,"Chilli (chili), red, fried, no added fat","A long thin shiny red vegetable with crisp, moist flesh. Hollow with a seeded core. Sliced and fried without added fat."
F002907,"Chives, raw","Long, thin, flattish, dark green stem which comes to a point at the top. Uncooked."
F002949,"Choko, peeled, fresh, raw","Pear-shaped green vegetable which grows on a vine and has a single soft seed, and pear-textured pale green flesh. Peeled and uncooked."
F002948,"Choko, peeled, fresh, boiled, drained","Pear-shaped green vegetable which grows on a vine and has a single soft seed, and pear-textured pale green flesh. Peeled and boiled in unsalted water without added fat, then drained."
F003192,"Coriander, fresh, leaves & stems",Fresh leaves and stems of the coriander plant. Uncooked.
F003209,"Corn, fresh on cob, raw","The round, yellow kernels of maize formed on an ear which is surrounded by a green husk. Uncooked kernels from a cob."
F003200,"Corn, fresh on cob, boiled, drained","The round, yellow kernels of maize formed on an ear which is surrounded by a green husk. Boiled on the cob in unsalted water, without added fat, then drained."
F003220,"Corn, kernels, canned in brine, drained","Corn kernels purchased canned with added water, sugar, salt, mineral salt, then drained."
F003202,"Corn, kernels, purchased frozen, raw",Corn kernels purchased frozen separated from cob. Uncooked.
F003201,"Corn, kernels, purchased frozen, boiled, drained","Corn kernels purchased frozen separated from cob. Boiled in unsalted water, without added fat, then drained."
F003319,"Cucumber, common, peeled, raw",Long and cylindrical in shape with dark green skin and white flesh with a crisp texture. Peeled and uncooked.
F003320,"Cucumber, common, unpeeled, raw",Long and cylindrical in shape with dark green skin and white flesh with a crisp texture. Unpeeled and uncooked.
F003321,"Cucumber, Lebanese, unpeeled, raw",Long and cylindrical in shape with dark green skin and white flesh with a crisp texture. Unpeeled and uncooked.
F003324,"Cucumber, telegraph, unpeeled, raw",Long and cylindrical in shape with dark green skin and white flesh with a crisp texture. Unpeeled and uncooked.
F003509,"Dill, fresh, raw","Fresh slender stems with fine threadlike leaves, with a distinct sweet smell and taste. Uncooked."
F003761,"Eggplant, unpeeled, fresh, raw","A smooth, shiny deep purple-blackish skinned vegetable with a creamy white interior with many small light brown seeds dispersed through the flesh. Uncooked."
